Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Joe-Pye Weed (Coastal),Eutrochium dubium,,Flowering Perennial,Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Moist,"Smaller, coastal tolerant",https://static.inaturalist.org/photos/316445576/medium.jpg,,Anchor,N,Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,tolerant,avoid,avoid,September,October,Fluffy achenes; collect before dispersal,30,"Tip layering works — may not come true; best from cuttings. Pin a low branch to moist soil in spring, sever the following year.",no,,no,,pink | purple,Mid/Late Summer,6,9,pink | purple,#E8829A,Eutrochium dubium
Joe-Pye Weed (Spotted),Eutrochium maculatum,,Flowering Perennial,Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Moist,Tall pollinator magnet,https://static.inaturalist.org/photos/88787579/medium.jpeg,,Anchor,N,Large,2 - Marginal,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,6,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Fluffy achenes; collect before dispersal,30,Divide in early spring,no,,no,,pink | purple,Mid/Late Summer,6,9,pink | purple,#E8829A,Eutrochium maculatum
American Beech,Fagus grandifolia,,Tree - Large,Native,Partly,Spring / Summer,Structural,Part Sun–Shade,Mesic,"Smooth gray bark, mast crop, beech leaf disease, caused by a nematode, is spreading, trees die within ten years, no treatment",https://inaturalist-open-data.s3.amazonaws.com/photos/9216901/medium.jpeg,,Woody,N,Large,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Tree,80,dark green,high,medium,medium,no,no,no,tolerant,marginal,avoid,September,October,Beechnuts in spiny husks; collect fresh,120,Best grown from fresh seed or purchased; difficult to transplant,with caveats,Nuts edible roasted; raw in small amounts only,no,,,Late Spring,4,5,,,Fagus grandifolia
Dwarf Fothergilla,Fothergilla gardenii,,Shrub – Small,Safe Non-Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Mesic,"Spring bottlebrush, woodland edge",https://inaturalist-open-data.s3.amazonaws.com/photos/216947576/medium.jpg,,,,,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,No,No,Yes,No,Shrub,4,,low,low,low,no,no,no,unknown,tolerant,marginal,September,October,Dry woody capsules; shake seeds out,10,Divide suckers in early spring or fall,no,,no,,white,Late Spring,4,5,white,#FFFFFF,Fothergilla gardenii
Large Fothergilla,Fothergilla major,,Shrub – Large,Safe Non-Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Mesic,"Fall color, fragrant bloom",https://inaturalist-open-data.s3.amazonaws.com/photos/85588348/medium.jpg,,,,,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,No,No,Yes,No,Shrub,6,,low,low,low,no,no,no,unknown,tolerant,marginal,September,October,Dry woody capsules; shake seeds out,10,Divide suckers in early spring or fall,no,,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Fothergilla major
Woodland Strawberry,Fragaria vesca,,Groundcover,Safe Non-Native,No,Fruit + Spring Interest,Low,Full Sun–Part Sun,Mesic,Shade-tolerant strawberry; lightly spreading,https://inaturalist-open-data.s3.amazonaws.com/photos/134106423/medium.jpg,,,,,4 - Strong,3 - OK,4 - Strong,3 - OK,5 - Best Fit,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,0.5,,high,high,high,no,no,no,unknown,marginal,marginal,June,July,Red achene fruits; collect when ripe,80,Divide runners in early spring or fall,yes,Edible fruit; woodland strawberry,no,,white,Spring,3,5,white,#FFFFFF,Fragaria vesca
Wild Strawberry,Fragaria virginiana,,Groundcover,Native,No,Fruit + Spring Interest,Low,Full Sun–Part Sun,Mesic,Tough spreading native strawberry; good for dry slopes and sun,https://inaturalist-open-data.s3.amazonaws.com/photos/600014255/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,0.5,,high,high,high,no,no,no,unknown,marginal,avoid,June,July,Red achene fruits; collect when ripe,80,Divide runners in early spring or fall; easy,yes,Edible fruit; native strawberry,no,,white,Spring,3,5,white,#FFFFFF,Fragaria virginiana
Carolina buckthorn,Frangula caroliniana,,Tree - Small,Near-Native,N,Fruit for birds,Small Tree,Full Sun to Part Shade,Mesic,Non-invasive buckthorn,https://inaturalist-open-data.s3.amazonaws.com/photos/12627329/medium.jpeg,,Midstory fill,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,2 - Marginal,3 - OK,No,No,Yes,No,Tree,15,,medium,medium,low,mild,mild,mild,unknown,marginal,marginal,August,September,Red-black drupes; clean pulp; cold stratify,15,Division not practical; best from softwood cuttings in summer,no,Mildly toxic,no,,white,Spring,3,5,white,#FFFFFF,Frangula caroliniana
Wintergreen,Gaultheria procumbens,,Groundcover,Native,Yes,Evergreen foliage; red winter berries,Low,Part Sun–Shade,Mesic,Aromatic evergreen groundcover with glossy red berries that persist all winter. Prefers acidic soils — excellent under pines and hemlocks. Spreads slowly by rhizome.,https://inaturalist-open-data.s3.amazonaws.com/photos/17301/medium.jpg,,Ground,N,Small,2 - Marginal,3 - OK,3 - OK,3 - OK,4 - Strong,5 - Best Fit,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,0.5,dark green,low,low,low,no,no,no,unknown,tolerant,marginal,September,November,Red berries persist through winter; clean pulp; cold stratify,20,Divide in early spring; spreads slowly by rhizome; ground layering sometimes works,yes,Berries edible; wintergreen flavor,yes,Leaves used medicinally for pain relief; source of wintergreen oil,white,Mid/Late Summer,6,9,white,#FFFFFF,Gaultheria procumbens
Gaura,Gaura lindheimeri,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Tall,Full Sun,Dry,"light, moving flowers in heat",https://inaturalist-open-data.s3.amazonaws.com/photos/106545467/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,1 - Don't Use,5 - Best Fit,No,No,No,No,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Small capsules; collect when dry,0,Divide in early spring; short-lived — refresh regularly,no,,no,,white | pink,Mid/Late Summer,6,9,white | pink,#FFFFFF,Gaura lindheimeri
Black Huckleberry,Gaylussacia baccata,,Shrub – Small,Native,Partly,Fall / Winter,Tall,Part Sun–Shade,Dry–Mesic,"Pine barren associate, dry acidic soils",https://inaturalist-open-data.s3.amazonaws.com/photos/145747518/medium.jpg,,Woody,N,Small,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,3,,medium,medium,low,no,no,no,sensitive,tolerant,avoid,July,August,Blue-black berries; clean pulp; cold stratify,50,Division not practical; best from softwood cuttings in summer,yes,Edible berries; huckleberries,no,,pink,Mid/Late Summer,6,9,pink,#E8829A,Gaylussacia baccata
Blue Huckleberry,Gaylussacia frondosa,,Shrub – Small,Native,Partly,Summer / Fall,Tall,Part Sun–Shade,Mesic,Moister cousin to G. baccata,https://inaturalist-open-data.s3.amazonaws.com/photos/65946243/medium.jpeg,,Woody,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,4,,medium,medium,low,no,no,no,sensitive,tolerant,avoid,July,August,Blue-black berries; clean pulp,50,Division not practical; best from softwood cuttings in summer,yes,Edible berries,no,,blue | pink,Fall,9,10,blue | pink,#4A7FC1,Gaylussacia frondosa
Bigroot Cranesbill,Geranium macrorrhizum,,Groundcover,Safe Non-Native,Partly,Spring / Summer,Low,Full Sun–Part Sun,Dry–Mesic,"scented foliage, tough dry shade cover",https://static.inaturalist.org/photos/79094219/medium.jpeg,,,,,4 - Strong,4 - Strong,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,5 - Best Fit,No,No,No,No,Herbaceous,1.5,,low,low,low,mild,mild,no,unknown,marginal,tolerant,June,July,Small dry nutlets,30,Divide in early spring or fall; spreads readily,with caveats,Aromatic; limited culinary use,no,,pink | white,Late Spring,4,5,pink | white,#E8829A,Geranium macrorrhizum
Hardy Cranesbill,Geranium x cantabrigiense,,Flowering Perennial,Safe Non-Native,Partly,Spring / Summer,Low,Full Sun–Part Sun,Mesic,"weed-suppressing groundcover, long lived",https://inaturalist-open-data.s3.amazonaws.com/photos/176332267/medium.jpg,,,,,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,5 - Best Fit,3 - OK,4 - Strong,No,No,No,No,Herbaceous,1,,low,low,low,mild,mild,no,unknown,marginal,marginal,June,July,Hybrid — seeds not reliably true,30,Divide in early spring or fall; spreads to form mat,no,,no,,pink,Late Spring,4,5,pink,#E8829A,Geranium x cantabrigiense
Appalachian Barren Strawberry,Geum fragarioides,,Groundcover,Native,Semi,Evergreenish Foliage,Low,Part Sun–Shade,Mesic,"Tidy, tough native groundcover; good pachysandra alternative. Historical latin name Waldsteinia fragarioides may also be used. Easily confused with non-native (Eurasian) barren strawberry, (Waldsteinia ternata)",https://inaturalist-open-data.s3.amazonaws.com/photos/474194373/medium.jpg,,Ground,N,Small,4 - Strong,3 - OK,5 - Best Fit,3 - OK,5 - Best Fit,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,0.5,,medium,medium,medium,no,no,no,unknown,marginal,marginal,June,July,Dry achenes; collect when ripe,20,Divide in early spring or fall,no,,no,,yellow,Spring,3,5,yellow,#F9C820,Geum fragarioides
Bowman’s Root,Gillenia trifoliata,,Flowering Perennial,Native,No,Spring Interest,Mid,Part Sun–Shade,Mesic,Elegant airy plant for light shade or sun,https://inaturalist-open-data.s3.amazonaws.com/photos/202228152/medium.jpeg,,Anchor,N,Small,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,3,,low,medium,low,mild,mild,mild,unknown,marginal,marginal,August,September,Small dry capsules; shake seeds out,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. May not come true; best from cuttings.",no,,no,,white | pink,Late Spring–Early Summer,5,6,white | pink,#FFFFFF,Gillenia trifoliata
Oak Fern,Gymnocarpium dryopteris,,Fern,Native,No,Delicate triangular fronds; carpeting woodland groundcover,Low,Shade,Mesic–Moist,Delicate creeping fern forming low carpets in cool shaded woodlands. Distinctive triangular fronds held horizontally on wiry stems. Acid soil specialist. Spreads slowly by rhizome to form groundcover colonies under conifers. Characteristic of northern hardwood and conifer forests.,https://static.inaturalist.org/photos/293657946/medium.jpeg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,2 - Marginal,3 - OK,3 - OK,5 - Best Fit,1 - Don't Use,Yes,Yes,No,Yes,Herbaceous,1,bright green,low,low,low,no,no,no,unknown,tolerant,avoid,July,August,Fern — produces spores; round sori without indusia on underside of fronds; spores ripen midsummer,2,Divide rhizomes in early spring; transplant with root mass intact; dislikes disturbance; prefers cool acid soil,no,,no,,,Spring–Fall,3,10,,,Gymnocarpium dryopteris
Kentucky coffee tree,Gymnocladus dioicus,,Tall Canopy Tree,Native,N,Large pods,Large Tree,Full Sun,Mesic,Architectural branching,https://static.inaturalist.org/photos/734639/medium.jpg,,Canopy structure,N,Large,3 - OK,3 - OK,4 - Strong,3 - OK,3 - OK,2 - Marginal,3 - OK,Yes,No,Yes,No,Tree,60,blue-gray,low,low,low,yes,yes,yes,tolerant,avoid,avoid,September,October,Large pods; collect when brown and dry,10,Best grown from fresh seed; slow to establish,with caveats,Seeds edible if thoroughly roasted and processed,no,,white,Spring,3,5,white,#FFFFFF,Gymnocladus dioicus
Hakone Grass,Hakonechloa macra,,Grass,Safe Non-Native,No,Summer / Fall,Low,Part Sun–Shade,Mesic,"flowing shade grass, soft movement",https://inaturalist-open-data.s3.amazonaws.com/photos/8251779/medium.jpg,,,,,3 - OK,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,No,No,No,No,Herbaceous,1.5,lime green,low,low,low,no,no,no,unknown,marginal,marginal,unknown,unknown,Ornamental cultivar — seeds not true to type,0,Divide clumps in early spring or fall,no,,no,,,n/a,,,,,Hakonechloa macra
Carolina Silverbell,Halesia tetraptera,,Tree - Small,Near-Native,No,Spring Flowers,Structural,Full Sun–Part Sun,Mesic,Understory tree with bell-shaped blooms,https://inaturalist-open-data.s3.amazonaws.com/photos/34096913/medium.jpg,,Woody,N,Medium,3 - OK,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,2 - Marginal,3 - OK,No,No,Yes,No,Tree,25,,medium,low,low,no,no,no,unknown,marginal,avoid,September,October,Winged dry seed pod; cold stratify,25,Best grown from fresh seed; slow to establish,no,,no,,white,Spring,3,5,white,#FFFFFF,Halesia tetraptera
Common Witch Hazel,Hamamelis virginiana,,Shrub – Large,Native,Partly,Early Spring / Fall,Structural,Part Sun–Shade,Mesic,"Understory shrub, very early spring bloom",https://inaturalist-open-data.s3.amazonaws.com/photos/102104076/medium.jpeg,,Woody,N,Medium,3 - OK,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,12,,low,low,low,mild,mild,no,tolerant,tolerant,marginal,October,November,Capsules split; seeds eject forcefully next spring,30,Best grown from fresh seed; slow to establish,no,,yes,Bark and leaves used medicinally; astringent; used in skin care,yellow,Very early spring,2,3,yellow,#F9C820,Hamamelis virginiana
Sneezeweed,Helenium autumnale,,Flowering Perennial,Native,No,Fall Color,Tall,Full Sun,Mesic–Moist,Moisture-loving late bloomer; great for rain gardens,https://inaturalist-open-data.s3.amazonaws.com/photos/168217302/medium.jpg,,Anchor,N,Medium,4 - Strong,1 - Don't Use,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,mild,mild,mild,unknown,avoid,avoid,September,October,Achenes in disk; collect dry heads,15,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. May not come true; best from cuttings.",no,Toxic,no,,yellow | orange | red,Late Summer–Fall,8,10,yellow | orange | red,#F9C820,Helenium autumnale
Woodland Sunflower,Helianthus divaricatus,,Flowering Perennial,Native,No,Summer flowers; goldfinch seed value; dry woodland edge,Tall,Full Sun–Part Sun,Dry–Mesic,One of the few sunflowers adapted to drier woodland edges and partial shade. Bright yellow flowers in midsummer. Spreads by rhizome to form colonies. Goldfinches eat seeds heavily. Great for dry shaded edges and woodland-to-meadow transition zones. Can be aggressive in ideal conditions.,https://static.inaturalist.org/photos/219790950/medium.jpg,,Matrix,M,Large,3 - OK,4 - Strong,4 - Strong,2 - Marginal,4 - Strong,2 - Marginal,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,6,green,medium,medium,medium,no,no,no,unknown,marginal,marginal,September,October,Small achenes; collect when dry; cold stratify or direct sow in fall,50,Divide rhizomes in early spring or fall; spreads vigorously — allow room or contain,with caveats,Seeds edible,no,,yellow,Mid/Late Summer,6,9,yellow,#F9C820,Helianthus divaricatus
Sunchoke / Jerusalem Artichoke,Helianthus tuberosus,,Flowering Perennial,Near-Native,No,Fall Color,Structural,Full Sun,Mesic–Moist,Tall native sunflower with edible tubers. Spreads extremely aggressively by tubers — nearly impossible to eliminate once established. Use only where spread is not a problem. Excellent pollinator plant.,https://inaturalist-open-data.s3.amazonaws.com/photos/47843108/medium.jpg,,Anchor,Y,Large,4 - Strong,3 - OK,4 - Strong,4 - Strong,3 - OK,1 - Don't Use,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,8,,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Achenes; collect dry seed heads,60,Divide tubers in fall or early spring — spreads very vigorously; confine to area where spread is acceptable,with caveats,Tubers edible; may cause digestive gas,no,,yellow,Late Summer–Fall,8,10,yellow,#F9C820,Helianthus tuberosus
Oxeye Sunflower,Heliopsis helianthoides,,Flowering Perennial,Native,No,Summer Color,Tall,Full Sun–Part Sun,Mesic,Long bloom; drought tolerant,https://inaturalist-open-data.s3.amazonaws.com/photos/309143453/medium.jpeg,,,,,5 - Best Fit,4 - Strong,4 - Strong,3 - OK,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Achenes; collect when heads are dry and dark,20,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall.",no,,no,,yellow,Summer,6,8,yellow,#F9C820,Heliopsis helianthoides
Lenten Rose,Helleborus x hybridus,,Flowering Perennial,Safe Non-Native,Yes,Spring,Mid,Part Sun–Shade,Mesic,"very early bloom, evergreen clump",https://inaturalist-open-data.s3.amazonaws.com/photos/116066718/medium.jpeg,,,,,3 - OK,3 - OK,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,1.5,dark green,low,low,low,yes,yes,yes,unknown,marginal,tolerant,April,May,Seeds ripen very early spring; collect promptly,0,Divide in early spring; slow to establish,no,Toxic,no,,white | pink | purple | maroon,Early Spring,2,3,white | pink | purple | maroon,#FFFFFF,Helleborus x hybridus
Daylily (garden hybrids),Hemerocallis hybrids,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Mesic,"very forgiving, fills tough spots",,https://upload.wikimedia.org/wikipedia/commons/1/18/Hemerocallis_sp._%28day_lily%29_%28Coshocton%2C_Ohio%2C_USA%29_2.jpg,,,,4 - Strong,4 - Strong,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,4 - Strong,No,No,No,No,Herbaceous,3,,high,medium,low,no,yes,no,unknown,avoid,avoid,unknown,unknown,Hybrid — usually sterile or not true from seed,0,Divide in early spring or fall; easy and vigorous,with caveats,Some parts edible; caution with hybrids — verify before eating,no,,yellow | orange | red | pink,Early Summer,5,6,yellow | orange | red | pink,#F9C820,Hemerocallis hybrids
Heuchera (Native Species),Heuchera americana,,Flowering Perennial,Native,No,Foliage Interest,Mid,Part Sun–Shade,Mesic,Woodland native alumroot; good for shade borders,https://inaturalist-open-data.s3.amazonaws.com/photos/3469537/medium.jpg,,Ground,N,Small,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,no,no,no,unknown,tolerant,marginal,July,August,Tiny capsules; shake into bag when dry,10,Divide in early spring or fall; easy from offsets,no,,no,,cream,Summer,6,8,cream,#FFF8DC,Heuchera americana
Heuchera (Native Species),Heuchera villosa,,Flowering Perennial,Native,No,Foliage Interest,Mid,Part Sun–Shade,Mesic,Dry-shade tolerant native heuchera; good foundation plant,https://static.inaturalist.org/photos/19626778/medium.jpeg,,Ground,N,Small,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,No,Yes,No,Herbaceous,2,,low,low,low,no,no,no,unknown,tolerant,marginal,July,August,Tiny capsules; shake into bag when dry,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. May not come true; best from cuttings.",no,,no,,white,Summer,6,8,white,#FFFFFF,Heuchera villosa
